GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,4,35,3,3,2,10,3,5,0,5
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,61,33,4,2,14,8,8,4,5,4
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,213,66,18,2,43,14,18,5,8,5
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,35,30,3,1,11,8,5,4,3,4
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,33,61,3,3,6,16,6,6,3,6
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,64,44,4,2,15,10,8,4,5,4
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,46,48,4,2,10,12,7,5,4,5
spring-boot-skeleton,com.nnk.springboot.services,TradeServiceImpl,12,27,0,0,1,6,2,5,2,5
spring-boot-skeleton,com.nnk.springboot.services,RuleNameServiceImpl,11,26,0,0,1,6,2,5,2,5
spring-boot-skeleton,com.nnk.springboot.services,RatingServiceImpl,11,26,0,0,1,6,2,5,2,5
spring-boot-skeleton,com.nnk.springboot.services,CurvePointServiceImpl,11,26,0,0,1,6,2,5,2,5
spring-boot-skeleton,com.nnk.springboot.services,UserServiceImpl,11,49,0,0,2,12,2,6,2,6
spring-boot-skeleton,com.nnk.springboot.services,BidListServiceImpl,12,27,0,0,1,6,2,5,2,5
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
